=====ENVY DATA=====
ff01 - 40
ff02 - 20
ff03 - 60
ff04 - 90
ff05 - 80

lf01 - 70
lf02 - 70
lf03 - 30
lf04 - 60
lf05 - 90

rf01 - 50
rf02 - 70
rf03 - 70
rf04 - 50
rf05 - 100

bf01 - 90
bf02 - 40
bf03 - 100
bf04 - 80
bf05 - 70

sit01 - 110
sit02 - 130
sit03 - 70
sit04 - 60
sit05 - 70

jump01 - full
jump02 - full
jump03 - full
jump04 - full
jump05 - full

crouch01 - 50
crouch02 - 60
crouch03 - 60
crouch04 - 50
crouch05 - 70

bend01 - 30
bend02 - 60
bend03 - 90
bend04 - 50
bend05 - 80

=====FRITZ DATA (ELEVATED)=====
ff09 - 90
ff10 - 110
ff11 - 80
ff12 - 60
ff13 - 80
ff14 - 70
ff15 - 50

lf06 - 40
lf07 - 100
lf08 - 70
lf09 - 50
lf10 - 90
lf11 - 110
lf12 - 80
lf13 - 80
lf14 - 70
lf15 - 50

rf06 - 60
rf07 - 60
rf08 - 60
rf09 - 50
rf10 - 90
rf11 - 80
rf12 - 110
rf13 - 40
rf14 - 90
rf15 - 70

bf06 - 60
bf07 - 70
bf08 - 90
bf09 - 100
bf10 - 70
bf11 - 40
bf12 - 70
bf13 - 100
bf14 - 90
bf15 - 90

crumple01 - 50
crumple02 - 70
crumple03 - 90
crumple04 - 100
crumple05 - 30
crumple06 - 50
crumple07 - 40
crumple08 - 40
crumple09 - 40
crumple10 - 60
crumple11 - 100
crumple12 - 50
crumple13 - 60
crumple14 - 70
crumple15 - 60

sit06 - 40
sit07 - 30
sit08 - 60
sit09 - 50
sit10 - 30
sit11 - 40
sit12 - 40
sit13 - 20
sit14 - 40
sit15 - 60
sit16 - 60
sit17 - 30
sit18 - 40
sit19 - 50
sit20 - 50

jump06 - full
jump07 - full
jump08 - full
jump09 - full
jump10 - full
jump11 - full
jump12 - full
jump13 - full
jump14 - full
jump15 - full
jump16 - full
jump17 - full
jump18 - full
jump19 - full
jump20 - full

crouch06 - 30
crouch07 - 60
crouch08 - 50
crouch09 - 80
crouch10 - 30
crouch11 - 40
crouch12 - 60
crouch13 - 30
crouch14 - 60
crouch15 - 60
crouch16 - 50
crouch17 - 70
crouch18 - 50
crouch19 - 50
crouch20 - 40

bend06 - 50
bend07 - 30
bend08 - 40
bend09 - 30
bend10 - 60
bend11 - 50
bend12 - 40
bend13 - 60
bend14 - 50
bend15 - 50
bend16 - 40
bend17 - 60
bend18 - 50
bend19 - 50
bend20 - 30
